ObsID,National_Station_Identifier,StationName,Provider ID,Country code,StationLon,StationLat,Height,DrainingArea.km2.Provider,River,Catchment,EC_Catchments,Calibration ID,DrainingArea.km2.LDD,LisfloodX,LisfloodY,RealTime,PostProcess,FixedRepPoint,LSFCalib,HasWL,HasD,Alive,HasRTWL,HasRTD,HasHWL,HasHD,Exclude,EC_calib,CAL_TYPE,ModelFile,MdlStep,version__origin__name,version__version,station_id,drainage_area,lon_provided,lat_provided,drainage_area_provided,to_calibrate,valid_for_origin,legend,comments
697,442634,Siojut,1017,HU,18.1404,46.8826,0,5884,Sio,Danube,Danube,-,5781,18.14167,46.875,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,24,ID_697.pickle,24,EFAS,17,697,,,,,,,,
698,444569,Szarvas,1017,HU,20.5603,46.913,0,25958,Harmas-Koros,Danube,Danube,-,26002.7,20.55833,46.90833,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,698,,,,,,,,
699,442131,Szentgotthard,1017,HU,16.2759,46.9573,0,3084,Raba,Danube,Danube,-,3074.8,16.275,46.95833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_699.pickle,6,EFAS,17,699,,,,,,,,
700,444229,Szolnok,1017,HU,20.1888,47.1695,0,73113,Tisza,Danube,Danube,-,72994.3,20.19167,47.175,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_700.pickle,6,EFAS,17,700,,,,,,,,
701,444226,Tiszabecs,1017,HU,22.8288,48.1034,0,9707,Tisza,Danube,Danube,-,9219.3,22.825,48.10833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_701.pickle,6,EFAS,17,701,,,,,,,,
702,444534,Tiszafured,1017,HU,20.7268,47.6408,0,63440,Tisza,Danube,Danube,-,63408.2,20.725,47.64167,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,702,,,,,,,,
703,444530,Tiszapalkonya,1017,HU,21.0582,47.8934,0,62730,Tisza,Danube,Danube,-,62478.8,21.05833,47.89167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,24,ID_703.pickle,6,EFAS,17,703,,,,,,,,
704,444539,Tiszaroff,1017,HU,20.4415,47.3891,0,66020,Tisza,Danube,Danube,-,66373.3,20.44167,47.39167,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,704,,,,,,,,
705,442026,Vac,1017,HU,19.123,47.7799,0,183787,Danube,Danube,Danube,-,183651.6,19.125,47.775,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_705.pickle,24,EFAS,17,705,,,,,,,,
706,444227,Vasarosnameny,1017,HU,22.3394,48.1268,0,29057,Tisza,Danube,Danube,-,28538.1,22.34167,48.125,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_706.pickle,6,EFAS,17,706,,,,,,,,
707,444510,Zahony,1017,HU,22.1728,48.4131,0,32782,Tisza,Danube,Danube,-,32482.2,22.175,48.40833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_707.pickle,6,EFAS,17,707,,,,,,,,
708,444555,Remete,1017,HU,21.312869,46.7001419,0,,Crisul Negru,Danube,Danube,-,4291.5,21.30833,46.70833,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,708,,,,,,,,
709,444562,Szeghalom Foki-hid,1017,HU,21.1828,46.9875,0,,Crisul Repede,Danube,Danube,-,3104,21.19167,46.99167,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,709,,,,,,,,
710,444656,Borz,1017,HU,20.9461,47.1899,0,,Hortobagy-Berettyo,Danube,Danube,-,9883.4,20.94167,47.19167,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,710,,,,,,,,
711,442641,Korakaspuszta,1017,HU,18.49,47.25,0,,Patkai Vitzarozo (Lake),Danube,Danube,-,359.4,18.49167,47.24167,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,711,,,,,,,,
712,442514,Ragyogohid,1017,HU,17.0129,47.3481,0,,Raba,Danube,Danube,-,6294.3,17.00833,47.34167,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,712,,,,,,,,
713,444666,Agota,1017,HU,21.0221,47.3779,0,3134,Barcau,Danube,Danube,-,2527.7,21.025,47.375,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,24,ID_713.pickle,24,EFAS,17,713,,,,,,,,
714,442604,Repcelak-Ujhid,1017,HU,17.0611,47.4272,0,,Kis-Raba,Danube,Danube,-,6467,17.05833,47.425,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,,,,EFAS,17,714,,,,,,,,
715,442601,Bacsa,1017,HU,17.6763,47.7251,0,17732,Mosoni-Duna,Danube,Danube,-,17859,17.675,47.725,FALSE,FALSE,TRUE,TRUE,1,0,1,1,0,1,1,0,1,24,ID_715.pickle,6,EFAS,17,715,,,,,,,,
716,444526,Belsobocs also,1017,HU,20.9749,48.0466,0,,Hernad,Danube,Danube,-,4963.7,20.975,48.05833,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,716,,,,,,,,
717,444525,Belsobocs felso,1017,HU,20.975,48.0467,0,,Hernad,Danube,Danube,-,4977.6,20.975,48.04167,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,717,,,,,,,,
718,444653,Taktafoldvar,1017,HU,21.22,48.13,0,,Takta,Danube,Danube,-,348.4,21.225,48.14167,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,718,,,,,,,,
772,151210050,GUSIN,1024,PL,21.25444444,51.89277778,91.735,81844.16,Vistula,Vistula,Vistula,C548,81852.8,21.25833,51.89167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_772.pickle,6,EFAS,17,772,,,,,,,,
773,152190120,KĘPA POLSKA,1024,PL,19.96333333,52.43138889,57.25,168357.53,Vistula,Vistula,Vistula,C551,168133.5,19.95833,52.425,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_773.pickle,6,EFAS,17,773,,,,,,,,
774,152220050,FRANKOPOL,1024,PL,22.56083333,52.415,109.593,30636.63,Bug,Vistula,Vistula,C220,29907.3,22.55833,52.40833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_774.pickle,6,EFAS,17,774,,,,,,,,
775,44119,Bistra,1001,RO,24.1931,47.863,1020,1547,Viseu,Danube,Danube,C760,1565.1,24.19167,47.85833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_775.pickle,6,EFAS,17,775,,,,,,,,
776,44220,Satu Mare,1001,RO,22.876,47.7864444,537,15385,Somes,Danube,Danube,C410,15258.4,22.875,47.79167,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,0,1,0,0,,ID_776.pickle,6,EFAS,17,776,,,,,,,,
777,44210,Beclean,1001,RO,24.1511944,47.1771667,711,,Somesul Mare,Danube,Danube,-,4346.5,24.15833,47.175,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_777.pickle,24,EFAS,17,777,,,,,,,,
778,44459,Zerind,1001,RO,21.5156111,46.6271667,351,3702,Crisul Negru,Danube,Danube,C759,4060.1,21.525,46.625,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_778.pickle,6,EFAS,17,778,,,,,,,,
779,44409,Chisineu Cris,1001,RO,21.5096667,46.5195278,351,,Crisul Alb,Danube,Danube,-,3586.2,21.50833,46.525,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_779.pickle,6,EFAS,17,779,,,,,,,,
780,44580,Salard,1001,RO,22.0281667,47.2315278,254,,Barcau,Danube,Danube,-,1690.5,22.025,47.225,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_780.pickle,6,EFAS,17,780,,,,,,,,
781,44610,Ocna Mures,1001,RO,23.8526944,46.3953333,703,,Mures,Danube,Danube,C039,9934.7,23.85833,46.39167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_781.pickle,6,EFAS,17,781,,,,,,,,
782,44612,Alba Iulia,1001,RO,23.5813611,46.0360556,625,18055,Mures,Danube,Danube,C408,18026.7,23.575,46.04167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_782.pickle,6,EFAS,17,782,,,,,,,,
783,44622,Arad,1001,RO,21.3208056,46.1598889,618,27280,Mures,Danube,Danube,C041,27278.6,21.325,46.15833,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,0,1,0,0,,ID_783.pickle,6,EFAS,17,783,,,,,,,,
784,44681,Turda,1001,RO,23.7844444,46.5662778,897,,Aries,Danube,Danube,-,2367.4,23.775,46.55833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_784.pickle,6,EFAS,17,784,,,,,,,,
785,44720,Mihalt,1001,RO,23.7301667,46.1716111,532,,Tarnava Mare,Danube,Danube,-,6253.6,23.74167,46.175,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_785.pickle,6,EFAS,17,785,,,,,,,,
786,42119,Sag,1001,RO,21.1781,45.6462,477,4493,Timis,Danube,Danube,C409,4407.6,21.175,45.64167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_786.pickle,6,EFAS,17,786,,,,,,,,
787,42231,Podari,1001,RO,23.78675,44.2601389,446,9334,Jiu,Danube,Danube,C018,9293.8,23.79167,44.25833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_787.pickle,24,EFAS,17,787,,,,,,,,
788,42450,Bals,1001,RO,24.0988889,44.3483333,414,,Oltet,Danube,Danube,-,2110.1,24.10833,44.34167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_788.pickle,24,EFAS,17,788,,,,,,,,
789,42471,Alexandria,1001,RO,25.3188056,43.9867778,195,,Vedea,Danube,Danube,-,3295,25.325,43.99167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_789.pickle,24,EFAS,17,789,,,,,,,,
790,42557,Calugareni,1001,RO,25.9969167,44.1711667,130,,Neajlov,Danube,Danube,-,1863.5,25.99167,44.15833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_790.pickle,24,EFAS,17,790,,,,,,,,
791,42630,Adancata,1001,RO,26.4605833,44.7558333,549,,Prahova,Danube,Danube,-,3710,26.45833,44.75833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_791.pickle,24,EFAS,17,791,,,,,,,,
792,42718,Itcani,1001,RO,26.2346389,47.6727778,629,,Suceava,Danube,Danube,-,2340.7,26.225,47.675,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_792.pickle,24,EFAS,17,792,,,,,,,,
793,42839,Vranceni,1001,RO,26.89525,46.2096667,734,,Trotus,Danube,Danube,-,4086.9,26.89167,46.20833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_793.pickle,24,EFAS,17,793,,,,,,,,
794,42873,Botarlau,1001,RO,27.3864167,45.6321944,554,,Putna,Danube,Danube,-,2542.7,27.39167,45.625,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_794.pickle,6,EFAS,17,794,,,,,,,,
795,42911,Tecuci,1001,RO,27.4403,45.8446,220,,Barlad,Danube,Danube,-,177.2,27.44167,45.84167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_795.pickle,24,EFAS,17,795,,,,,,,,
796,42708,Dragesti,1001,RO,26.9454444,46.7236389,525,11899,Siret,Danube,Danube,C028,11848.9,26.94167,46.725,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_796.pickle,6,EFAS,17,796,,,,,,,,
797,42945,Radauti,1001,RO,26.824,48.2388056,529,9074,Prut,Danube,Danube,C021,9308.5,26.825,48.24167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_797.pickle,24,EFAS,17,797,,,,,,,,
798,42001,Bazias,1001,RO,21.3901,44.8087,-999,570896,Danube,Danube,Danube,C403,562382.8,21.39167,44.80833,FALSE,FALSE,TRUE,TRUE,1,0,1,1,1,0,1,0,1,24,ID_798.pickle,24,EFAS,17,798,,,,,,,,
799,42309,Hoghiz,1001,RO,25.3010833,45.9918889,797,7225,Olt,Danube,Danube,C404,7157.7,25.30833,45.99167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_799.pickle,6,EFAS,17,799,,,,,,,,
800,44405,Gurahont,1001,RO,22.34225,46.2777222,515,,Crisul Alb,Danube,Danube,-,1607.8,22.35833,46.275,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_800.pickle,6,EFAS,17,800,,,,,,,,
801,42153,Gataia,1001,RO,21.4342,45.439,359,,Barzava,Danube,Danube,-,718.7,21.44167,45.44167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_801.pickle,24,EFAS,17,801,,,,,,,,
802,42109,Lugoj,1001,RO,21.9073,45.6837,666,,Timis,Danube,Danube,-,2706.5,21.90833,45.675,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_802.pickle,6,EFAS,17,802,,,,,,,,
803,42741,Tupilati,1001,RO,26.648111,47.0846389,703,,Moldova,Danube,Danube,-,3939.8,26.65833,47.09167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,24,ID_803.pickle,24,EFAS,17,803,,,,,,,,
804,42780,Frumosu,1001,RO,25.8619167,47.1424722,1172,,Bistrita,Danube,Danube,-,2865.9,25.85833,47.14167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_804.pickle,24,EFAS,17,804,,,,,,,,
805,42057,Ceatal Izmail,1001,RO,28.8,45.1802222,-999,807000,Ialomita,Danube,Danube,C406,785914.6,28.75833,45.24167,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,24,ID_805.pickle,24,EFAS,17,805,,,,,,,,
806,42039,Harsova,1001,RO,27.8928,44.6797,-999,,Danube,Danube,Danube,-,688547.1,27.89167,44.675,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,806,,,,,,,,
807,42025,Zimnicea,1001,RO,25.3573056,43.6301944,-999,658400,Danube,Danube,Danube,C405,642272.9,25.35833,43.625,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,24,ID_807.pickle,24,EFAS,17,807,,,,,,,,
808,42714,Lungoci,1001,RO,27.5099722,45.5566111,-999,36030,Siret,Danube,Danube,C029,36424.9,27.50833,45.55833,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,24,ID_808.pickle,24,EFAS,17,808,,,,,,,,
809,42612,Cosereni,1001,RO,26.5716944,44.6969722,-999,6265,Ialomita,Danube,Danube,C407,6251,26.575,44.69167,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,24,ID_809.pickle,24,EFAS,17,809,,,,,,,,
810,42496,Teleormanu,1001,RO,25.4608611,43.9522222,-999,,Teleorman,Danube,Danube,-,1344.1,25.45833,43.95833,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,810,,,,,,,,
811,42318,Cornet,1001,RO,24.2972222,45.3851111,-999,13733,Olt,Danube,Danube,C019,13868.3,24.30833,45.39167,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,1,0,1,24,ID_811.pickle,24,EFAS,17,811,,,,,,,,
812,42279,Fata Motrului,1001,RO,23.2922778,44.5996944,-999,,Motru,Danube,Danube,-,1794.8,23.29167,44.60833,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,,,,EFAS,17,812,,,,,,,,
813,444688,Apatfalva,1017,HU,20.5469,46.1785,81.15,28585,Mures,Danube,Danube,-,28134.3,20.55833,46.175,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,813,,,,,,,,
814,444558,Bekes duzzaszto a.,1017,HU,21.1554,46.7622,81.32,8983,Koros,Danube,Danube,-,9141.5,21.175,46.75833,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,0,0,0,,ID_814.pickle,24,EFAS,17,814,,,,,,,,
815,444557,Bekes duzzaszto f.,1017,HU,21.1565,46.7618,81.32,8983,Koros,Danube,Danube,-,9101.4,21.19167,46.74167,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,815,,,,,,,,
816,442532,Budapest Kvassay zsilip f.,1017,HU,19.0688,47.4615,94.76,185006,Danube,Danube,Danube,-,185306.4,19.05833,47.45833,FALSE,FALSE,TRUE,FALSE,1,0,1,1,1,1,0,0,0,,,,EFAS,17,816,,,,,,,,
817,442132,Kormend,1017,HU,16.6106,47.0064,184.15,4734,Raba,Danube,Danube,-,4722.8,16.60833,47.00833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,2,6,ID_817.pickle,6,EFAS,17,817,,,,,,,,
818,444567,Korosladany hid,1017,HU,21.0822,46.953,80.98,8985,Crisul Repede,Danube,Danube,-,3777,21.075,46.95833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,24,ID_818.pickle,6,EFAS,17,818,,,,,,,,
819,442625,Szob,1017,HU,18.8598,47.8158,100.98,183340,Danube,Danube,Danube,-,183288.6,18.85833,47.80833,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,819,,,,,,,,
820,442536,Tass zsilip a.,1017,HU,18.9766,47.0324,89.28,188257,Danube,Danube,Danube,-,187439.8,18.975,47.025,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,820,,,,,,,,
821,444689,Tunyogmatolcs,1017,HU,22.4533,47.9837,106.21,15522,Somes,Danube,Danube,-,15392.5,22.45833,47.99167,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,1,0,0,0,,,,EFAS,17,821,,,,,,,,
822,44201,Hetin,1020,RS,20.798278,45.652777,76.69,2271,Stari Begej,Danube,Danube,-,1825.4,20.80833,45.65833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_822.pickle,6,EFAS,17,822,,,,,,,,
823,42914,Gamzigrad,1020,RS,22.173151,43.924319,152.2,1213,Crni Timok,Danube,Danube,-,1172.3,22.175,43.925,FALSE,FALSE,TRUE,TRUE,1,0,1,1,1,1,1,0,1,24,ID_823.pickle,24,EFAS,17,823,,,,,,,,
824,931,Wilsele-Wijgmaal,1022,BE,4.706311099,50.92523434,15,899.9,Dyle,Scheldt,Scheldt,-,903.5,4.70833,50.925,FALSE,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,0,0,,ID_824.pickle,6,EFAS,17,824,,,,,,,,
825,21974,Eppegem,1022,BE,4.455650975,50.96052198,,1083.6,Zenne,Scheldt,Scheldt,-,1104.4,4.45833,50.95833,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,0,1,0,0,,ID_825.pickle,6,EFAS,17,825,,,,,,,,
826,41920,Mehikoorma,1028,EE,27.47555556,58.2325,28,43895,Lake Peipus,Narva,Narva,-,30103.7,27.49167,58.225,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,0,0,0,0,,,,EFAS,17,826,,,,,,,,
827,41925,Mustvee,1028,EE,26.95111111,58.8475,28,43895,Mustvee,Narva,Narva,-,176.6,26.95833,58.84167,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,0,0,0,0,,,,EFAS,17,827,,,,,,,,
828,41922,Praaga,1028,EE,27.23333333,58.43333333,28,43895,Emajogi,Narva,Narva,-,9789.9,27.225,58.425,FALSE,FALSE,FALSE,FALSE,1,0,1,1,0,0,0,0,0,,,,EFAS,17,828,,,,,,,,
829,41019,Räpina,1028,EE,27.45446,58.09555972,30.79,1130,Vohandu jogi,Narva,Narva,-,1111.2,27.45833,58.09167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,24,ID_829.pickle,6,EFAS,17,829,,,,,,,,
830,21965,Aarschot,1022,BE,4.822323163,50.98765194,,2146.42,Demer,Scheldt,Scheldt,-,2153.7,4.825,50.99167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,1,0,1,6,ID_830.pickle,6,EFAS,17,830,,,,,,,,
831,45837,Prijepolje,1020,RS,19.637294,43.381888,443.37,3160,Lim,Danube,Danube,C782,3186,19.64167,43.39167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_831.pickle,6,EFAS,17,831,,,,,,,,
832,47260,Raska,1020,RS,20.613816,43.296433,392.54,6270,Ibar,Danube,Danube,-,6145.2,20.60833,43.29167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_832.pickle,6,EFAS,17,832,,,,,,,,
833,A133003001,'L''Ill à Ensisheim',1021,FR,7.34820901,47.86688667,214,1038,Ill,Rhine,Rhine,-,1041.6,7.35833,47.85833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,0,0,0,1,6,ID_833.pickle,6,EFAS,17,833,,,,,,,,
834,3028,Boretto,1016,IT,10.558932,44.906332,30,55183,Po,Po,Po,C464,55603.9,10.55833,44.90833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_834.pickle,6,EFAS,17,834,,,,,,,,
836,4031,Ladesic Draga,1031,HR,15.36727778,45.47944444,147.839,1445,Kupa,Danube,Danube,-,1405,15.375,45.475,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_836.pickle,6,EFAS,17,836,,,,,,,,
837,4024,Kamanje,1031,HR,15.39252778,45.63791667,123.827,2047,Kupa,Danube,Danube,-,2026.6,15.39167,45.64167,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_837.pickle,6,EFAS,17,837,,,,,,,,
838,4111,Karlovac,1031,HR,15.55144444,45.49636111,103.169,3461,Kupa,Danube,Danube,-,2528.7,15.54167,45.49167,FALSE,FALSE,TRUE,FALSE,1,0,0,1,1,1,0,0,0,,,,EFAS,17,838,,,,,,,,
839,4107,Jamnicka Kiselica,1031,HR,15.8575,45.54861111,100.794,6895,Kupa,Danube,Danube,C453,6323,15.85833,45.54167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_839.pickle,6,EFAS,17,839,,,,,,,,
840,4065,Sisinec,1031,HR,16.07719444,45.4485,94.81,7364,Kupa,Danube,Danube,-,6825.1,16.075,45.44167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_840.pickle,6,EFAS,17,840,,,,,,,,
841,4010,Farkasic,1031,HR,16.15269444,45.48327778,93.82,8992,Kupa,Danube,Danube,C454,8419.8,16.15833,45.475,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_841.pickle,6,EFAS,17,841,,,,,,,,
842,3217,Kostajnica,1031,HR,16.54872222,45.22238889,103.196,8876,Una,Danube,Danube,-,7692.7,16.54167,45.225,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_842.pickle,6,EFAS,17,842,,,,,,,,
843,3026,Dubica,1031,HR,16.80930556,45.18572222,94.17,9368,Una,Danube,Danube,-,8059.3,16.80833,45.19167,FALSE,FALSE,TRUE,FALSE,1,0,1,1,1,1,1,0,0,,ID_843.pickle,6,EFAS,17,843,,,,,,,,
844,3405,Drenje Brdovecko,1031,HR,15.68802778,45.86233333,132.754,10750,Sava,Danube,Danube,-,9912.8,15.70833,45.85833,TRUE,TRUE,TRUE,FALSE,1,1,1,1,1,1,1,0,0,,ID_844.pickle,6,EFAS,17,844,,,,,,,,
845,3121,Zagreb,1031,HR,15.95330556,45.7845,112.26,12450,Sava,Danube,Danube,C023,11572.6,15.95833,45.79167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_845.pickle,6,EFAS,17,845,,,,,,,,
846,3096,Rugvica,1031,HR,16.22827778,45.74372222,95.612,12730,Sava,Danube,Danube,C459,11846,16.225,45.74167,FALSE,FALSE,TRUE,FALSE,1,0,1,1,0,1,1,0,0,,ID_846.pickle,24,EFAS,17,846,,,,,,,,
847,3373,Dubrovcak Lijevi,1031,HR,16.336,45.64769444,94.53,12750,Sava,Danube,Danube,-,11898.9,16.34167,45.64167,FALSE,FALSE,FALSE,FALSE,1,0,0,1,0,1,0,0,0,,,,EFAS,17,847,,,,,,,,
848,3020,Crnac,1031,HR,16.41572222,45.45177778,91.338,22852,Sava,Danube,Danube,-,21444.1,16.40833,45.45833,FALSE,FALSE,TRUE,FALSE,1,0,1,1,0,1,1,0,0,,ID_848.pickle,24,EFAS,17,848,,,,,,,,
849,3036,Gusce,1031,HR,16.58258333,45.42194444,89.135,23284,Sava,Danube,Danube,-,21639.9,16.575,45.425,FALSE,FALSE,FALSE,FALSE,1,0,0,1,0,1,0,0,0,,,,EFAS,17,849,,,,,,,,
850,3219,Jasenovac,1031,HR,16.90747222,45.26680556,86.82,38953,Sava,Danube,Danube,C024,28719.1,16.90833,45.275,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_850.pickle,6,EFAS,17,850,,,,,,,,
851,3104,Stara Gradiska,1031,HR,17.24994444,45.15025,85.467,40262,Sava,Danube,Danube,-,37895.3,17.24167,45.14167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_851.pickle,6,EFAS,17,851,,,,,,,,
852,3179,Davor C.S.,1031,HR,17.53955556,45.12802778,82.594,47179,Sava,Danube,Danube,C025,44235.8,17.54167,45.125,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_852.pickle,6,EFAS,17,852,,,,,,,,
853,3177,Slavonski Kobas,1031,HR,17.73783333,45.09886111,82.69,48744,Sava,Danube,Danube,-,45839.7,17.74167,45.09167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_853.pickle,6,EFAS,17,853,,,,,,,,
854,3098,Slavonski Brod,1031,HR,18.00477778,45.15294444,81.8,50858,Sava,Danube,Danube,C463,47763.7,18.00833,45.15833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_854.pickle,6,EFAS,17,854,,,,,,,,
855,3101,Slavonski Samac,1031,HR,18.47311111,45.06575,80.696,62288,Sava,Danube,Danube,-,58845.3,18.475,45.05833,FALSE,FALSE,FALSE,FALSE,1,0,0,1,0,1,0,0,0,,,,EFAS,17,855,,,,,,,,
856,3211,Zupanja Stepenica,1031,HR,18.68666667,45.07347222,76.277,62891,Sava,Danube,Danube,C026,59242.1,18.69167,45.075,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_856.pickle,6,EFAS,17,856,,,,,,,,
